name,symbol_ricequant,symbol_tushare
TMT50,399610.XSHE,399610.SZ
沪财中小,000091.XSHG,000091.SH
380电信,000112.XSHG,000112.SH
中证医药净收益美元,H30313.XSHG,h30313.CSI
300运输,000957.XSHG,399957.SZ
300运输,000957.XSHG,000957.SH
深证200,399009.XSHE,399009.SZ
银河99,000959.XSHG,000959.SH
中创100R,399611.XSHE,399611.SZ
央视创新,399551.XSHE,399551.SZ
消费服务,000806.XSHG,000806.SH
180红利,000149.XSHG,000149.SH
家用电器,801110.INDX,930697.CSI
380成长,000117.XSHG,000117.SH
综合指数,000008.XSHG,000008.SH
深证创投,399696.XSHE,399696.SZ
中证龙头,000960.XSHG,399960.SZ
中证龙头,000960.XSHG,000960.SH
中证龙头,000960.XSHG,000960.CSI
中创100,399612.XSHE,399612.SZ
中创100,399612.XSHE,159942.SZ
深证1000,399011.XSHE,399011.SZ
深证价值,399348.XSHE,399348.SZ
大宗商品,000979.XSHG,399979.SZ
大宗商品,000979.XSHG,161715.SZ
大宗商品,000979.XSHG,000979.SH
深报综指,399352.XSHE,399352.SZ
安防产业,399693.XSHE,399693.SZ
商业指数,000005.XSHG,000005.SH
医药主题,000121.XSHG,000121.SH
中小300,399008.XSHE,399008.SZ
中小300,399008.XSHE,159907.SZ
医药100,000978.XSHG,399978.SZ
医药100,000978.XSHG,000978.SH
上证小盘,000045.XSHG,000045.SH
内地银行,000947.XSHG,399947.SZ
内地银行,000947.XSHG,000947.SH
内地银行,000947.XSHG,000947.CSI
上证地企,000055.XSHG,000055.SH
全指信息,000993.XSHG,000993.SH
深防御50,399671.XSHE,399671.SZ
深证科技,399339.XSHE,399339.SZ
上证F200,000098.XSHG,000098.SH
沪港AH溢价,H50066.XSHG,h50066.CSI
中证新兴,000964.XSHG,399964.SZ
中证新兴,000964.XSHG,000964.SH
细分食品,000815.XSHG,000815.SH
细分食品,000815.XSHG,000815.CSI
中小板R,399333.XSHE,399333.SZ
380动量,H50058.XSHG,h50058.CSI
100绩效,399656.XSHE,399656.SZ
非周期,000064.XSHG,000064.SH
计算机指,399363.XSHE,399363.SZ
中证转债,000832.XSHG,161826.SZ
中证转债,000832.XSHG,000832.SH
央视治理,399554.XSHE,399554.SZ
创业板V,399668.XSHE,399668.SZ
800地产,399965.XSHE,399965.SZ
央视文化,399557.XSHE,399557.SZ
300工业,000910.XSHG,000910.SH
300消费,000912.XSHG,000912.SH
500低贝,000831.XSHG,000831.SH
深证央企,399335.XSHE,399335.SZ
中关村60,399697.XSHE,399697.SZ
国证服务,399320.XSHE,399320.SZ
乐富指数,399103.XSHE,399103.SZ
中证上游,399961.XSHE,399961.SZ
中证上游,399961.XSHE,000961.SH
深证民营,399337.XSHE,399337.SZ
中证民企,000938.XSHG,399938.SZ
中证民企,000938.XSHG,000938.SH
中证民企,000938.XSHG,000938.CSI
300成长,000918.XSHG,000918.SH
380信息,000111.XSHG,000111.SH
沪消费品,000103.XSHG,000103.SH
国证新能,399412.XSHE,399412.SZ
上证中小,000046.XSHG,000046.SH
中小高贝,399664.XSHE,399664.SZ
深证信息,399620.XSHE,399620.SZ
中证中游,000962.XSHG,399962.SZ
中证中游,000962.XSHG,000962.SH
中证中游,000962.XSHG,000962.CSI
深300EW,399633.XSHE,399633.SZ
医药生物,801150.INDX,163118.SZ
医药生物,801150.INDX,000808.SH
中证央企,000926.XSHG,399926.SZ
中证央企,000926.XSHG,000926.SH
中证央企,000926.XSHG,000926.CSI
内地基建,000943.XSHG,399943.SZ
内地基建,000943.XSHG,000943.SH
内地基建,000943.XSHG,000943.CSI
工业等权,000072.XSHG,000072.SH
300美元对冲,H30405.XSHG,h30405.CSI
防御100,399403.XSHE,399403.SZ
国证地产,399393.XSHE,399393.SZ
国证地产,399393.XSHE,S99393.JZ
180基本,000053.XSHG,000053.SH
基本200,000965.XSHG,000965.SH
基本200,000965.XSHG,000965.CSI
新华金牛,000976.XSHG,000976.SH
300分层,000981.XSHG,000981.SH
300分层,000981.XSHG,000981.CSI
300可选,000911.XSHG,000911.SH
深报指数,399351.XSHE,399351.SZ
300红利,000821.XSHG,000821.SH
中证下游,399963.XSHE,399963.SZ
中证下游,399963.XSHE,000963.SH
资源50,000092.XSHG,000092.SH
380价值,000118.XSHG,000118.SH
380工业,000106.XSHG,000106.SH
380基本,000128.XSHG,000128.SH
地产指数,000006.XSHG,399241.SZ
地产指数,000006.XSHG,000006.SH
全指成长,000057.XSHG,000057.SH
皖江30,399350.XSHE,399350.SZ
380材料,000105.XSHG,000105.SH
国证物流,399353.XSHE,399353.SZ
180R成长,000030.XSHG,000030.SH
上证下游,000096.XSHG,000096.SH
50等权,000050.XSHG,000050.SH
50等权,000050.XSHG,510430.SH
380可选,000107.XSHG,000107.SH
全指价值,000058.XSHG,000058.SH
中证全指,000985.XSHG,000985.SH
中证全指,000985.XSHG,000985.CSI
内地资源,000944.XSHG,399944.SZ
内地资源,000944.XSHG,000944.SH
深成工业,399682.XSHE,399682.SZ
深证低波,399661.XSHE,399661.SZ
上证100,000132.XSHG,000132.SH
珠三角,399356.XSHE,399356.SZ
国证成长,399370.XSHE,399370.SZ
500沪市,000802.XSHG,000802.SH
500沪市,000802.XSHG,510440.SH
1000金融,399387.XSHE,399387.SZ
1000金融,399387.XSHE,h30445.CSI
上证180,000010.XSHG,000010.SH
上证180,000010.XSHG,S00010.JZ
深成公用,399689.XSHE,399689.SZ
上证医药,000037.XSHG,000037.SH
180低贝,000136.XSHG,000136.SH
创业专利,399691.XSHE,399691.SZ
A股资源,000805.XSHG,000805.SH
300非周,399969.XSHE,399969.SZ
300非周,399969.XSHE,000969.SH
300波动,000803.XSHG,000803.SH
300波动,000803.XSHG,000803.CSI
优势消费,000147.XSHG,000147.SH
中证流通,000902.XSHG,000902.SH
中证流通,000902.XSHG,000902.CSI
上证休闲,H50054.XSHG,h50054.CSI
300稳定,000844.XSHG,000844.SH
